 ,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,Vero-E6 Zaliani ,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,,,,Red Flags,,,
GLUCONOLACTONE,Chelating agent,NA,LCT,,,,,178.14,-3.0132,6,4,1,107.22,4,13.48,-0.12,,,-1.322,,,,0,-29.21710069,0,0,Inactive,0,3.367739276,0,0,Inactive,Inactive,0,1.362696216,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,4.157283012,,,,,,0,-29.17980059,,,,,,,,,,NA,NA,NA,NA
METAPROTERENOL,Bronchodilator,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction",ADRB2,adrenergic receptor agonist,,,,211.261,1.1292,4,4,4,72.72,1,-4.16,0.18,,-0.1316,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41 hours,,NA,Hypersensitivity; Tachycardia,Category C,Use with caution
METHENAMINE,"Antibacterial, Antiseptic",NA,,bacterial DNA inhibitor,,,,140.19,-1.0198,4,0,0,12.96,4,-2.65,-0.12,0.2897,0.2305,6.189,,,,0,-77.16225557,0,0,Inactive,0,-6.87848719,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-1.354548881,0,0,Inactive,Inactive,0,1.60659242,,,,,,0,-8.194069743,,,,,,,,Elimination half-life = 3-4 hours assuming normal renal function. (1),,NA,Hypersensitivity; Severe ranal/hepatic insufficiency,Category A,Use with caution
ORPHENADRINE CITRATE,Skeletal muscle relaxant,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Glutamatergic synapse",,acetylcholine receptor antagonist,,,5.2,461.511,2.41412,6,4,11,144.6,1,,0.03,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%,13-20 hours,,NA,"Hypersensitivity; Narrow-angle glaucoma; Pyloric/duodenal obstruction, BPH, stenosing peptic ulcers, cardiospasm (mega-esophagus), myasthenia gravis, obstructive uropathy, paralytic ileus, ulcerative colitis, toxic megacolon, achalasia",Category B2,Not recommended
Uridine,NA,NA,"LSM6, TYMP",dopamine receptor agonist,,,,244.203,-2.8519,7,4,2,124.78,4,3.88,-0.22,,,31.53,,,,0,-156.6250647,,,,0,-2.34956466,,,,,,,,,,,,,,,,0,11.74001397,,,,,,0,-17.50930674,,,,,,,,,,NA,NA,NA,Use with caution
MANNITOL,"Diuretic, Antihypertensive (intracranial, intraocular), Diagnostic aid (renal function determination)",NA,,,,,,182.172,-3.5854,6,6,5,121.38,4,-29.88,0.08,,,13.85,,,,0,0,,,,0,-0.046902475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70 hours,7%,NA,Hypersensitivity; Anuria; hypovolemia,Category B2,Use with caution
Ondansetron,Anti-emetic,Serotonergic synapse,"HTR3A, HTR3B",serotonin receptor antagonist,,0.09,10.04,293.37,3.12852,4,0,2,39.82,1,,0.43,,0.03849,21.17,,,,39.81071706,-36.62229775,39.8107,63.8372,Inconclusive,0,10.04653386,0,0,Inactive,Inactive,0,10.20955714,0,0,Inactive,0,5.856562314,0,0,Inactive,Inactive,0,-1.764642754,,,,,,0,-19.86649003,,,,,,,"The plasma protein binding associated with ondansetron was documented as approximately 73% [F3181, F3184].",3.40 hours,62%,Apomorphine; dronedarone; lefamulin; posaconazole,Hypersensitivity,Category B1,Not recommended
Inosine,Immunostimulant,NA,"PARP1, PNP",neurotrophic agent,,,,268.229,-2.2689,8,4,2,133.49,4,,,-0.08895,,,,,,0,1.986363677,0,0,Inactive,0,-4.685728235,0,0,Inactive,Inactive,0,-173.8535381,0,0,Inactive,0,-16.92537026,0,0,Inactive,Inactive,0,-4.486351467,,,,,,0,-23.27471509,,,,,,,,,,NA,NA,NA,NA
Carglumic Acid,Antihyperammonemic,NA,CPS1,carbamoyl phosphate synthase activator,,,,190.155,-1.0273,3,4,5,129.72,1,7.18,-0.08,,0.1387,-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median values for the terminal half-life was 5.6 hours (range 4.3-9.5).,0.3,NA,NA,Category B1,Not recommended
L-Cycloserine,Antibacterial (tuberculostatic),"D-Alanine metabolism, Peptidoglycan biosynthesis",,,,2.62E+05,3.58,102.093,-1.6249,3,2,0,64.35,1,,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.32265073,,,,,,0,-23.14784954,,,,,,,,,,NA,NA,Category C,Use with caution
Galanthamine,Anti-Alzheimer's,"Glycerophospholipid metabolism, Cholinergic synapse",AChE,acetylcholinesterase inhibitor,,,7.21,287.359,1.8503,4,1,1,41.93,3,1.53,-0.14,,0.2532,9.86,,,,0,-0.449189359,0,0,Inactive,0,-14.87576942,0,0,Inactive,Inactive,0,-70.42828382,0,0,Inactive,0,7.461606537,0,0,Inactive,Inactive,0,3.274323879,,,,,,0,-23.67345502,,,,,,,18%,5.30 hours,99%,NA,NA,Category B1,Not recommended
Levetiracetam,Anticonvulsant,ECM-receptor interaction,"CACNA1B, SCN1A, SV2A",calcium channel blocker,,,6.1,170.212,-0.1273,2,1,3,63.4,1,13.42,-0.02,0.008913,0.04659,4.118,,,,0,-9.578996805,,,,0,2.194939496,,,,,,,,,,,,,,,,0,-1.14500812,,,,,,0,-15.83665762,,,,,,,<10%,8.23 hours,99%,None,Hypersensitivity,Category B3,Not recommended
Voriconazole,Antifungal,Steroid biosynthesis,"CYP2C19, CYP2C9, CYP3A4, CYP3A5, PTGS1",cytochrome P450 inhibitor,,,8.73,349.316,2.1769,6,1,5,76.72,2,-2.98,-0.12,0.00006668,0.166,9.578,,,,0,-20.64709217,0,0,Inactive,0,-0.252900342,0,0,Inactive,Inactive,0,-256.5160727,0,0,Inactive,0,-18.0515209,0,0,Inactive,Inactive,0,2.33931092,,,,,,0,-26.85638803,,,,,,,58%,5.60 hours,96%,Alfuzosin; carbamazepine; chloroquine; cobimetinib; conivaptan; dihydroergotamine; dihydroergotamine intranasal; efavirenz; eliglustat; ergoloid mesylates; ergonovine; ergotamine; finerenone; flibanserin; isavuconazonium sulfate; ivabradine; lefamulin; lomitapide; lonafarnib; lovastatin; lurasidone; methylergonovine; mirtazapine; naloxegol; phenobarbital; pimozide; quinidine; regorafenib; rifabutin; rifampin; ritonavir;sirolimus; St John's Wort; venetoclax; voclosporin,"HypersensitivitY; Patients with galactose intolerance, Lapp lactase deficiency, or glucose-galactose malabsorption",Category B3,Not recommended
Isosorbide mononitrate,Vasodilator (coronary),NA,"GUCY1A2, GUCY1A3, GUCY1B2, GUCY1B3",nitric oxide stimulant,,,,191.139,-1.2782,6,1,2,91.06,4,-2.1,-0.08,0.4835,0.1018,17.33,,,,0,-22.62457539,0,0,Inactive,0,1.126061146,0,0,Inactive,Inactive,0,-41.32001598,0,0,Inactive,0,-10.17061455,0,0,Inactive,Inactive,0,-3.59293739,,,,,,0,-21.11222957,,,,,,,5%,4.10 hours,93%,Avanafil; riociguat; sildenafil; tadalafil; vardenafil,Hypersensitivityl PDE-5 inhibitors,Category B2,Not recommended
Deflazacort,Anti-inflammatory,Neuroactive ligand-receptor interaction,NR3C1,glucocorticoid receptor agonist,,,,441.524,2.5632,7,1,3,102.26,8,,,0.4333,0.3895,,,,,0,3.004065231,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,3.886839808,0,0,Inactive,Inactive,0,-1.808185056,,,,,,0,-3.118318657,,,,,,,"The protein binding of the active metabolite of deflazacort is approximately 40%.[FDA label,A18759]","The half-life of deflazacort ranges from 1.1 to 1.9 h [A18725,L6703]",68%,mifepristone,Hypersensitivity ,NA,Not recommended 
Orlistat,Antiobesity,"Glycerolipid metabolism, Pancreatic secretion, Fat digestion and absorption","CNR1, DAGLA, DAGLB, FASN, LIPF, PNLIP",lipase inhibitor,,0.04,10.39,495.745,6.8819,5,1,23,81.7,4,-3.03,0.77,,0.2509,37.35,,,,0,0,0,0,Inactive,0,15.35785028,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,7.720739702,0,0,Inactive,Inactive,0,6.83501373,,,,,,12.58925412,-75.74974603,,,,,,,>99% bound to plasma proteins (lipoproteins and albumin were major binding proteins).,1 to 2 hours.,1%,None,"Pregnancy
Chronic malabsorption syndrome
Cholestasis
Hypersensitivity",Category B1,Not recommended 
Moxidectin,Antiparasitic,NA,,chloride channel antagonist,,,,639.83,5.7289,9,2,3,116.04,10,,,,0.3085,,,,,10,-32.90467245,17.7828,66.6212,Inconclusive,0,-56.35418478,0,0,Inactive,Inactive,0,-86.46158184,0,0,Inactive,0,1.261892705,0,0,Inactive,Inactive,0,24.75448351,,,,,,3.548133892,-57.39317203,,,,,,,This pharmacokinetic property in humans is unknown.[FDA label],Moxidectin reporter terminal half-life is 20.2 days.[A33398],,NA,None,NA,Use with caution 
HYDROXYZINE PAMOATE,Anxiolytic,"Calcium signaling pathway, Neuroactive ligand-receptor interaction",HRH1,antihistamine,,,,763.287,7.4473,8,5,12,151,1,-2.82,-0.13,,,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The half-life of hydroxyzine is reportedly 14-25 hours, and appears to be, on average, shorter in children (~7.1 hours) than in adults (~20 hours). Elimination half-life is prolonged in the elderly, averaging approximately 29 hours, and is likely to be similarly prolonged in patients with renal or hepatic impairment",,NA,Hypersensitivity; Prolonged QT interval,Category A,Use with caution
Diazoxide,Antihypoglycemia,Insulin secretion,"ATP1A1, CA1, CA2, KCNJ11, KCNJ8, KCNMA1, SLC12A3",potassium channel activator,,194000,3.71,230.676,1.8726,3,1,0,58.53,0,,0,0.02926,0.1379,11.11,,,,0,-17.4302112,0,0,Inactive,0,0.120028933,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-8.072316494,0,0,Inactive,Inactive,0,-2.097695373,,,,,,0,-8.958761539,,,,,,,>90%,48 hours,90%,NA,NA,Category C,Not recommended
Cefaclor,Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,,,367.814,0.6213,5,3,4,112.73,3,34.21,0.11,0.6065,0.3978,74.81,,,,0,-61.65771631,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.111376517,0,0,Inactive,Inactive,0,12.47723604,,,,,,0,-9.329917606,,,,,,,23.50%,0.6-0.9 hour,90%,None,Hypersensitivity,Category B1,Use with caution
Methazolamide,Antiglaucoma,Proximal tubule bicarbonate reclamation,"CA1, CA12, CA14, CA2, CA4, CA7",carbonic anhydrase inhibitor,,14,7.85,236.278,-1.4238,6,1,1,107.41,0,-0.52,0.21,0.3518,,-19.29,,,,0,-8.083392963,0,0,Inactive,0,-3.382568287,0,0,Inactive,Inactive,0,-39.94196852,0,0,Inactive,0,-20.16486471,0,0,Inactive,Inactive,0,2.272045862,,,,,,0,-19.55469442,,,,,,,55%,14 hours,,None,"Hypokalemia, hyponatremia, hyperchloremic acidosis, cirrhosis, severe liver or renal impairment, adrenal gland failure",NA,Not recommended
Natamycin,"Antifungal, Antibacterial",NA,,fungal ergosterol inhibitor,,,,665.733,0.1197,13,7,3,230.99,14,3.99,-0.01,,,8.099,,,,0,-123.8862319,0,0,Inactive,0,-6.075239446,0,0,Inactive,Inactive,0,-62.80907352,0,0,Inactive,0,0.885313656,0,0,Inactive,Inactive,0,6.409062441,,,,,,0,-28.42120246,,,,,,,,,,NA,Hypersensitivity,Category C,No sufficient information is available
Aztreonam,Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,,5.74,435.44,-1.1725,10,4,7,201.58,2,1.89,-0.06,0.1281,0.135,7.203,,,,0,-17.82056617,0,0,Inactive,0,3.745151877,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.06556952,0,0,Inactive,Inactive,0,2.365865255,,,,,,0,-21.80105294,,,,,,,"Serum protein binding averaged 56% and is independent of dose. Impaired renal function, 36 to 43%.",1.50 hours,1%,None,Hypersensitivity,Category B1,Use with caution
Nizatidine,Anti-ulcerative,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",HRH2,histamine receptor antagonist,,,6.92,331.467,1.3225,8,2,10,83.33,0,-3.09,0.04,,,14.96,,,,0,-59.26556635,0,0,Inactive,0,0.587233609,0,0,Inactive,Inactive,0,-35.70183056,0,0,Inactive,0,2.352303281,0,0,Inactive,Inactive,0,-3.407845034,,,,,,0,-20.24463109,,,,,,,35%,1.50 hours,70%,None,"Hypersensitivity
Addison disease",Category B3,Not recommended
Mebendazole,Anthelmintic,NA,"TUBA1A, TUBB, TUBB4B",tubulin polymerization inhibitor,,,,295.298,2.9722,4,2,3,84.08,0,13.81,0.67,0.1013,0.2334,31.63,,,,1.412537545,-289.1873085,6.3096,35.2826,Inconclusive,11.22018454,-25.78230826,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-11.8704389,0,0,Inactive,Inactive,0,-14.3223736,,,,,,0.630957345,-102.4539625,,,,,,,90-95%,1.10 hours,22%,None,Hypersensitivity,Category B3,Recommended
Nitrofurantoin,Antibacterial,NA,,DNA inhibitor,,,,238.159,0.0735,6,1,3,118.05,0,21.5,-0.2,0.01764,0.1622,14.81,,,,39.81071706,-75.70760384,0,0,Inactive,39.81071706,-12.15534096,0,0,Inactive,Inactive,39.81071706,-27.0930021,39.8107,97.9678,Inconclusive,39.81071706,-12.23198221,39.8107,41.9543,Inconclusive,Cytotoxic,0,-0.499793327,,,,,,0,-18.3806785,,,,,,,90%,0.97 hours,87%,None,"Renal failure (anuria, oliguria, or CrCl <60 mL/min)
Pregnancy at term (38-42 weeks of gestation)
History of hepatic dysfunction/cholestatic jaundice with nitrofurantoin
Neonates (<28 days)
Hypersensitivity",Category A,Use with caution
Repaglinide,Antidiabetic,"ABC transporters, Insulin secretion","ABCC8, KCNJ11, PPARG",insulin secretagogue,,106,6.97,452.595,5.2199,4,2,10,78.87,1,0.78,0.08,0.4307,0.06595,7.8,,,,0,-21.37024321,0,0,Inactive,0,0.785861679,0,0,Inactive,Inactive,0,7.507815586,0,0,Inactive,0,4.746004284,0,0,Inactive,Inactive,0,19.26168264,,,,,,0,-43.60381092,,,,,,,>98%,0.87 hours,56%,gemfibrozil,"Hypersensitivity
Diabetic ketoacidosis",Category C,Not recommended
Flunisolide,Anti-inflammatory,Neuroactive ligand-receptor interaction,NR3C1,cytochrome P450 inhibitor,,,9.1,434.504,2.2747,6,2,2,93.06,9,-4.09,-0.07,0.0848,0.1937,12.51,,,,0,-8.569648006,0,0,Inactive,0,-2.746354367,0,0,Inactive,Inactive,0,0.874872549,0,0,Inactive,0,-0.359080262,0,0,Inactive,Inactive,0,-8.057623359,,,,,,0,-9.463560912,,,,,,,Approximately 40% after oral inhalation,1.68 hours,6.70%,NA,NA,Category B3,Use with caution
Isosorbide dinitrate,Vasodilator (coronary),NA,"GUCY1A2, GUCY1A3, GUCY1B2, GUCY1B3, NPR1",nitric oxide stimulant,,,,236.136,-1.0622,8,0,4,123.2,4,-9.77,0.11,0.07718,,33,,,,0,-141.3792057,0,0,Inactive,0,-9.50521202,0,0,Inactive,Inactive,0,1.320993622,0,0,Inactive,0,4.192086162,0,0,Inactive,Inactive,0,-1.774414316,,,,,,0,-25.48447319,,,,,,,very low,1.70 hours,22%,"avanafil
riociguat
sildenafil
tadalafil
vardenafil","Hypersensitivity; Severe anemia, shock, markedly low blood pressure",Category B1,Use with caution
Cimetidine,Anti-ulcerative,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion","HRH2, SLC29A4, SLC47A1, SLC47A2",histamine receptor antagonist,,500,6.3,252.347,0.5974,4,3,5,88.89,0,-12.58,-0.07,0.01447,0.04968,17.13,,,,0,-52.87610281,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.07875058,0,0,Inactive,Inactive,0,-1.200371473,,,,,,0,-3.749997116,,,,,,,15-20%,2.20 hours,60%,Dofetilide; eliglustat; lomitapide; pimozide,Hypersensitivity,Category B1,Not recommended
Furazolidone,"Antibacterial, Antiprotozoal",NA,,bacterial DNA inhibitor,,,,225.16,0.9739,6,0,3,98.18,0,41.74,-0.01,,0.1034,19.33,,,,0,-37.64639583,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-3.270192183,0,0,Inactive,Inactive,0,-12.59640374,,,,,,0,-33.75129087,,,,,,,,10 minutes,,NA,NA,NA,NA
Belumosudil,Autoimmune disease treatment,Chemokine signaling pathway,ROCK2,Rho-associated kinase inhibitor,,,,452.518,4.8201,6,3,7,104.82,0,-8.64,1.65,,,-34.99,,,,0,-115.9486971,,,,12.58925412,-69.41061446,,,,,,,,,,,,,,,,0,-4.624684727,,,,,,0,-24.79763519,,,,,,,,,,NA,NA,,Not recommended
Tepotinib (EMD 1214063),Antineoplastic,"Ras signaling pathway, PI3K-Akt signaling pathway, ",MET,tyrosine kinase inhibitor,,,,492.583,4.00788,8,0,7,96.93,0,,,,,,,,,39.81071706,-9.879535887,,,,0,-99.1826676,,,,,,,,,,,,,,,,12.58925412,76.02991964,10,72.8017,Inconclusive,,,0,-15.09034285,12.5893,89.2776,Inconclusive,Cytotoxic,,,,,,NA,NA,,Not recommended
Telotristat,Antidiarrheal,"Tryptophan metabolism, Serotonergic synapse

",TPH,Tryptophan hydroxylase inhibitor,,,,546.937,4.51012,8,3,8,142.17,2,,,,-0.05214,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.69380889,,,,,,0,1.602287202,,,,,,,,,,"doravirine
lonafarnib",NA,Category B3,Not recommended
Fexinidazole,Antiparasitic,,,,,,,279.321,2.6292,6,0,5,70.19,0,19.95,0.02,,0.1901,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lonafarnib,"Hypersensitivity
Hepatic impairment",NA,NA
Umbralisib,Antineoplastic,"Inositol phosphate metabolism, Chemokine signaling pathway, FoxO signaling pathway, Phosphatidylinositol signaling system, PI3K-Akt signaling pathway, Wnt signaling pathway, Hedgehog signaling pathway, B cell receptor signaling pathway
","PIK3CD, CSNK1E ",,,,,571.559,6.6627,8,1,6,109.06,1,24.32,-0.05,,,19.1,,,,0,2.26298998,,,,0,-0.889729839,,,,,,,,,,,,,,,,0,10.98489712,,,,,,0,-8.664528874,,,,,,,,,,NA,NA,NA,NA
ZILEUTON,Antiasthmatic,Arachidonic acid metabolism,ALOX5 ,Arachidonate 5-lipoxygenase inhibitor,,,,236.296,2.7322,3,2,2,66.56,1,,0.03,-0.00439,0.2291,9.14,,,,6.309573445,-18.63245659,6.3096,38.1681,Inconclusive,0,15.53924379,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-1.35771927,,,,,,0,-26.24428017,,,,,,,,2.5 hours,,flibanserin,"Hypersensitivity
Liver disease",NA,Not recommended
Dydrogesterone,Menstruation disorder agent,"Oocyte meiosis, Progesterone-mediated oocyte maturation, Estrogen signaling pathway


",NR3C3 (PGR),Progesterone receptor agonist,,,6.9,312.453,4.4995,2,0,1,34.14,6,,0.63,0.5447,0.01426,17,,,,0.707945784,-50.03005857,0.7079,34.9741,Inconclusive,0,-3.848148201,0,0,Inactive,Inactive,39.81071706,-24.5126191,39.8107,84.0755,Inconclusive,0,3.135703538,0,0,Inactive,Inactive,0,-1.381872808,,,,,,0,-6.752608153,,,,,,,,"Dydrogesterone: 5-7 hours, 20-dihydrodydrogesterone (DHD) metabolite: 14-17 hours",28%,NA,NA,Category B3,Not recommended
